CENTERS:7
LABEL_DICT:{0= 'Insufficient_Weight', 1= 'Normal_Weight', 2= 'Obesity_Type_I', 3= 'Obesity_Type_II', 4= 'Obesity_Type_III', 5= 'Overweight_Level_I', 6= 'Overweight_Level_II'}
POINTS/LABELS: 
20.406871;1.755978;53.699561;3.891994;1.86393;2.870127;0
26.0;1.62495;111.00492;3.0;2.704315;0.0;4
18.0;1.85;60.0;4.0;2.0;2.0;0
21.0;1.52;42.0;1.0;1.0;0.0;0
22.0;1.75;74.0;3.0;2.0;1.0;1
18.0;1.738702;50.248677;3.0;1.283738;0.684879;0
26.684354;1.819535;118.332689;3.0;2.357969;0.704236;3
30.0;1.65;71.0;3.0;1.0;0.0;5
23.099906;1.571812;78.997166;1.0;2.0;0.402614;2
23.0;1.710129;50.079991;3.0;2.685842;0.373186;0
26.826961;1.673287;90.0;3.0;3.0;0.884935;2
18.301773;1.808765;140.292018;3.0;2.830247;1.783138;4
28.393111;1.685462;99.540122;2.301129;1.0;1.621733;3
30.242597;1.759772;118.382361;3.0;2.208068;1.07672;3
25.696073;1.662978;110.930509;3.0;1.679489;0.017804;4
23.0;1.65;80.0;3.0;2.0;0.0;6
20.520992;1.668642;124.704781;3.0;1.15635;0.786828;4
33.55336;1.699793;103.841672;2.419656;1.0;1.982379;3
26.011928;1.777251;106.452367;3.0;1.911379;1.911096;2
33.0816;1.705617;83.016968;2.7976;2.991671;2.148738;6
18.140751;1.859056;111.235188;1.706551;2.039514;1.0;2
32.593129;1.721903;72.748903;3.0;1.0;0.0;5
25.955014;1.626449;104.879602;3.0;2.094901;0.07089;4
18.0;1.792687;108.204547;2.478794;2.967064;1.0;2
21.0;1.63;51.0;1.0;1.0;1.0;1
18.549437;1.545196;72.467862;3.014808;2.0;1.997529;6
21.473078;1.694423;80.311273;2.646717;2.0;2.627515;6
18.112503;1.82773;152.720545;3.0;2.154949;1.999897;4
25.777565;1.628205;107.378702;3.0;2.506631;0.025787;4
20.242237;1.75633;54.567343;3.98525;2.654078;2.113151;0
26.0;1.65782;111.95611;3.0;2.777557;0.0;4
35.194089;1.673482;73.193589;2.809716;1.591425;0.178023;5
28.167799;1.658202;78.0;1.532833;1.931242;0.525002;6
22.0;1.64;56.0;3.0;2.0;0.0;1
19.773303;1.602082;45.0;3.0;2.875583;1.258504;0
23.76197;1.69135;114.480696;3.0;2.509535;0.334264;4
18.0;1.787733;108.019211;2.37985;2.616138;1.0;2
19.0;1.69;60.0;3.0;1.0;1.0;1
18.0;1.5;50.0;3.0;2.0;0.0;1
19.0;1.69;65.0;3.0;1.0;1.0;1
19.0;1.64;53.0;3.0;1.0;1.0;1
25.058566;1.764484;113.234349;3.0;2.038958;1.590255;3
27.0;1.85;75.0;1.0;2.0;1.0;1
19.0;1.88;79.0;3.0;3.0;3.0;1
